Title,Price,Tags
Counter-Strike: Global Offensive,Free to Play,"FPS, Shooter, Multiplayer, Competitive"
Tom Clancy's Rainbow SixÂ® Siege,$19.99,"FPS, Hero Shooter, Multiplayer, Tactical"
Warframe,Free to Play,"Looter Shooter, Free to Play, Action, Co-op"
Left 4 Dead 2,$9.99,"Zombies, Co-op, FPS, Multiplayer"
Counter-Strike,$9.99,"Action, FPS, Multiplayer, Shooter"
Borderlands 2,$19.99,"Loot, Shooter, Action, Multiplayer"
Tomb Raider,$19.99,"Adventure, Action, Female Protagonist, Third Person"
PAYDAY 2,$9.99,"Co-op, Action, FPS, Heist"
Counter-Strike: Source,$9.99,"Shooter, Action, FPS, Multiplayer"
Destiny 2,Free To Play,"Free to Play, Looter Shooter, FPS, Multiplayer"
Half-Life 2,$9.99,"FPS, Action, Sci-fi, Classic"
BioShock Infinite,$29.99,"FPS, Story Rich, Action, Singleplayer"
Mount & Blade: Warband,$19.99,"Medieval, RPG, Open World, Strategy"
Risk of Rain 2,$19.99,"Third-Person Shooter, Action Roguelike, Action, Multiplayer"
MONSTER HUNTER: WORLD,$29.99,"Co-op, Multiplayer, Action, Open World"
